SEX_A,locality_A,yearbirth_A,monthbirth_A,daybirth_A,Name_A,bident_A,aident_A,ID_A,Name1_A,Name2_A,shortName1_A,join_col_x,SEX_B,locality_B,yearbirth_B,monthbirth_B,daybirth_B,Name_B,namepert_B,yearbirthpert_B,monthbirthpert_B,daybirthpert_B,sexpert_B,aident_B,bident_B,ID_B,Name1pert_B,Name2pert_B,shortName1pert_B,join_col_y,_merge,Score2,Match_Status,Predicted_Match,score_with_SLD
1.0,31.0,1958.0,12.0,3.0,GEOFF,E373,A1,2051588,GEOFF,,GEO,0,1.0,31.0,1958.0,12.0,3.0,GEOFF,GEOFF,1958.0,12.0,3.0,1.0,A1,E373,2051588.0,GEOFF,,GEO,0.0,both,13,1,1,13.0
1.0,31.0,1958.0,12.0,3.0,GEOFF,E373,A1,2051588,GEOFF,,GEO,0,2.0,31.0,1960.0,4.0,25.0,LISA,LISA,1960.0,4.0,25.0,,A329,E372,2049586.0,LISA,,LIS,0.0,both,0,0,0,0.0
1.0,31.0,1965.0,1.0,30.0,JAMES,E371,,2047429,JAMES,,JAM,0,1.0,31.0,1958.0,12.0,3.0,GEOFF,GEOFF,1958.0,12.0,3.0,1.0,A1,E373,2051588.0,GEOFF,,GEO,0.0,both,1,0,0,1.0
1.0,31.0,1965.0,1.0,30.0,JAMES,E371,,2047429,JAMES,,JAM,0,2.0,31.0,1960.0,4.0,25.0,LISA,LISA,1960.0,4.0,25.0,,A329,E372,2049586.0,LISA,,LIS,0.0,both,0,0,0,0.0
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,0,0,0,1.4285714285714284
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,1,0,0,2.4285714285714284
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,2,0,0,2.0
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,1,0,0,4.571428571428571
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,1,0,0,2.4285714285714284
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,2.0,70.0,1963.0,6.0,4.0,SHIRLEY,SHILREY,1963.0,6.0,4.0,2.0,A334,E344,1904512.0,SHILREY,,SHI,0.0,both,0,0,0,0.7142857142857145
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,1.0,70.0,1964.0,11.0,28.0,KORNELL,KORNELL,1964.0,11.0,28.0,1.0,A5,E331,1816773.0,KORNELL,,KOR,0.0,both,3,0,0,3.7142857142857144
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,1.0,70.0,1970.0,7.0,23.0,JOE,SOF,1970.0,7.0,23.0,1.0,A6,E339,1878042.0,SOF,,SOF,0.0,both,3,0,0,3.0
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,1.0,70.0,1972.0,7.0,1.0,JOHN,SOHN,1972.0,7.0,1.0,1.0,A7,E338,1867627.0,SOHN,,SOH,0.0,both,3,0,0,3.7142857142857144
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,1.0,70.0,1976.0,7.0,16.0,ERIC,ERIC,1976.0,7.0,16.0,1.0,A8,E345,1905463.0,ERIC,,ERI,0.0,both,3,0,0,3.7142857142857144
1.0,70.0,1922.0,7.0,28.0,MICHAEL,E348,,1926422,MICHAEL,,MIC,0,1.0,70.0,1978.0,11.0,10.0,ROSS,RDSS,1978.0,11.0,10.0,,A9,E340,1882068.0,RDSS,,RDS,0.0,both,0,0,0,1.0
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,0,0,0,0.0
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,0,0,0,0.0
