id_a,firstname_a,middlename_a,surname_a,sex_a,postcode_a,dob_a,first1_a,first2_a,middle1_a,middle2_a,sur1_a,sur2_a,title_a,shortfirst1_a,initfirst1_a,shortfirst2_a,initfirst2_a,shortmiddle1_a,initmiddle1_a,shortmiddle2_a,initmiddle2_a,shortsur1_a,initsur1_a,shortsur2_a,initsur2_a,initials_a,daybirth_a,monthbirth_a,yearbirth_a,pcarea_a,pcdistrict_a,age_a,id_b,firstname_b,middlename_b,surname_b,sex_b,postcode_b,dob_b,first1_b,first2_b,middle1_b,middle2_b,sur1_b,sur2_b,title_b,shortfirst1_b,initfirst1_b,shortfirst2_b,initfirst2_b,shortmiddle1_b,initmiddle1_b,shortmiddle2_b,initmiddle2_b,shortsur1_b,initsur1_b,shortsur2_b,initsur2_b,initials_b,daybirth_b,monthbirth_b,yearbirth_b,pcarea_b,pcdistrict_b,age_b,Match_Status,matched_on
BD111HA_10,GEORGE,LUCAS,ROBINSON,1,BD111HA,1989-03-03,GEORGE,,LUCAS,,ROBINSON,,,GEO,G,,,LUC,L,,,ROB,R,,,GLR,3,3,1989,BD,BD11,37,BD111HA_10,GEORGE,LUCAS,ROBINSON,1,BD111HA,1989-03-03,GEORGE,,LUCAS,,ROBINSON,,,GEO,G,,,LUC,L,,,ROB,R,,,GLR,3,3,1989,BD,BD11,37,1,EXACT
BD111HA_100,LUCIE,LYLA,ROBINSON,2,BD111HA,1985-01-05,LUCIE,,LYLA,,ROBINSON,,,LUC,L,,,LYL,L,,,ROB,R,,,LLR,5,1,1985,BD,BD11,41,BD111HA_100,LUCIE,LYLA,ROBINSON,2,BD111HA,1985-01-05,LUCIE,,LYLA,,ROBINSON,,,LUC,L,,,LYL,L,,,ROB,R,,,LLR,5,1,1985,BD,BD11,41,1,EXACT
BD111HA_104,GEORGE,HARRISON,ROBINSON,1,BD111HA,1984-03-04,GEORGE,,HARRISON,,ROBINSON,,,GEO,G,,,HAR,H,,,ROB,R,,,GHR,4,3,1984,BD,BD11,42,BD111HA_104,GEORGE,HARRISON,ROBINSON,1,BD111HA,1984-03-04,GEORGE,,HARRISON,,ROBINSON,,,GEO,G,,,HAR,H,,,ROB,R,,,GHR,4,3,1984,BD,BD11,42,1,EXACT
BD111HA_110,HOLLIE,,ROBINSON,2,BD111HA,1988-01-07,HOLLIE,,,,ROBINSON,,,HOL,H,,,,,,,ROB,R,,,HR,7,1,1988,BD,BD11,38,BD111HA_110,HOLLIE,,ROBINSON,2,BD111HA,1988-01-07,HOLLIE,,,,ROBINSON,,,HOL,H,,,,,,,ROB,R,,,HR,7,1,1988,BD,BD11,38,1,EXACT
BD111HA_112,,,MURRAY,2,BD111HA,1990-01-03,,,,,MURRAY,,,,,,,,,,,MUR,M,,,M,3,1,1990,BD,BD11,36,BD111HA_112,,,MURRAY,2,BD111HA,1990-01-03,,,,,MURRAY,,,,,,,,,,,MUR,M,,,M,3,1,1990,BD,BD11,36,1,EXACT
BD111HA_114,GEORGE,,EVANS,1,BD111HA,1989-03-03,GEORGE,,,,EVANS,,,GEO,G,,,,,,,EVA,E,,,GE,3,3,1989,BD,BD11,37,BD111HA_114,GEORGE,,EVANS,1,BD111HA,1989-03-03,GEORGE,,,,EVANS,,,GEO,G,,,,,,,EVA,E,,,GE,3,3,1989,BD,BD11,37,1,EXACT
BD111HA_123,DAISY,,BOOTH,2,BD111HA,1985-02-05,DAISY,,,,BOOTH,,,DAI,D,,,,,,,BOO,B,,,DB,5,2,1985,BD,BD11,41,BD111HA_123,DAISY,,BOOTH,2,BD111HA,1985-02-05,DAISY,,,,BOOTH,,,DAI,D,,,,,,,BOO,B,,,DB,5,2,1985,BD,BD11,41,1,EXACT
BD111HA_124,THEO,RILEY,ROBINSON,1,BD111HA,1983-03-08,THEO,,RILEY,,ROBINSON,,,THE,T,,,RIL,R,,,ROB,R,,,TRR,8,3,1983,BD,BD11,43,BD111HA_124,THEO,RILEY,ROBINSON,1,BD111HA,1983-03-08,THEO,,RILEY,,ROBINSON,,,THE,T,,,RIL,R,,,ROB,R,,,TRR,8,3,1983,BD,BD11,43,1,EXACT
BD111HA_126,RILEY,LUCAS,BOOTH,1,BD111HA,1984-01-07,RILEY,,LUCAS,,BOOTH,,,RIL,R,,,LUC,L,,,BOO,B,,,RLB,7,1,1984,BD,BD11,42,BD111HA_126,RILEY,LUCAS,BOOTH,1,BD111HA,1984-01-07,RILEY,,LUCAS,,BOOTH,,,RIL,R,,,LUC,L,,,BOO,B,,,RLB,7,1,1984,BD,BD11,42,1,EXACT
BD111HA_136,LENA,FLORENCE,WALLACE,2,BD111HA,1989-02-07,LENA,,FLORENCE,,WALLACE,,,LEN,L,,,FLO,F,,,WAL,W,,,LFW,7,2,1989,BD,BD11,37,BD111HA_136,LENA,FLORENCE,WALLACE,2,BD111HA,1989-02-07,LENA,,FLORENCE,,WALLACE,,,LEN,L,,,FLO,F,,,WAL,W,,,LFW,7,2,1989,BD,BD11,37,1,EXACT
BD111HA_138,HARRISON,,HARRISON,1,BD111HA,1988-02-06,HARRISON,,,,HARRISON,,,HAR,H,,,,,,,HAR,H,,,HH,6,2,1988,BD,BD11,38,BD111HA_138,HARRISON,,HARRISON,1,BD111HA,1988-02-06,HARRISON,,,,HARRISON,,,HAR,H,,,,,,,HAR,H,,,HH,6,2,1988,BD,BD11,38,1,EXACT
BD111HA_142,LYLA,THEA,EVANS,2,BD111HA,1987-02-07,LYLA,,THEA,,EVANS,,,LYL,L,,,THE,T,,,EVA,E,,,LTE,7,2,1987,BD,BD11,39,BD111HA_142,LYLA,THEA,EVANS,2,BD111HA,1987-02-07,LYLA,,THEA,,EVANS,,,LYL,L,,,THE,T,,,EVA,E,,,LTE,7,2,1987,BD,BD11,39,1,EXACT
BD111HA_147,HOLLIE,ESME,HARRISON,2,BD111HA,1992-03-02,HOLLIE,,ESME,,HARRISON,,,HOL,H,,,ESM,E,,,HAR,H,,,HEH,2,3,1992,BD,BD11,34,BD111HA_147,HOLLIE,ESME,HARRISON,2,BD111HA,1992-03-02,HOLLIE,,ESME,,HARRISON,,,HOL,H,,,ESM,E,,,HAR,H,,,HEH,2,3,1992,BD,BD11,34,1,EXACT
BD111HA_150,HOLLIE,FLORENCE,HARRISON,2,BD111HA,1993-01-07,HOLLIE,,FLORENCE,,HARRISON,,,HOL,H,,,FLO,F,,,HAR,H,,,HFH,7,1,1993,BD,BD11,33,BD111HA_150,HOLLIE,FLORENCE,HARRISON,2,BD111HA,1993-01-07,HOLLIE,,FLORENCE,,HARRISON,,,HOL,H,,,FLO,F,,,HAR,H,,,HFH,7,1,1993,BD,BD11,33,1,EXACT
BD111HA_151,MADDISON,HOLLIE,EVANS,2,BD111HA,1987-02-05,MADDISON,,HOLLIE,,EVANS,,,MAD,M,,,HOL,H,,,EVA,E,,,MHE,5,2,1987,BD,BD11,39,BD111HA_151,MADDISON,HOLLIE,EVANS,2,BD111HA,1987-02-05,MADDISON,,HOLLIE,,EVANS,,,MAD,M,,,HOL,H,,,EVA,E,,,MHE,5,2,1987,BD,BD11,39,1,EXACT
BD111HA_16,MUHAMMAD,RILEY,EVANS,1,BD111HA,1993-02-03,MUHAMMAD,,RILEY,,EVANS,,,MUH,M,,,RIL,R,,,EVA,E,,,MRE,3,2,1993,BD,BD11,33,BD111HA_16,MUHAMMAD,RILEY,EVANS,1,BD111HA,1993-02-03,MUHAMMAD,,RILEY,,EVANS,,,MUH,M,,,RIL,R,,,EVA,E,,,MRE,3,2,1993,BD,BD11,33,1,EXACT
BD111HA_2,HARRISON,CAMERON,,1,BD111HA,1986-02-08,HARRISON,,CAMERON,,,,,HAR,H,,,CAM,C,,,,,,,HC,8,2,1986,BD,BD11,40,BD111HA_2,HARRISON,CAMERON,,1,BD111HA,1986-02-08,HARRISON,,CAMERON,,,,,HAR,H,,,CAM,C,,,,,,,HC,8,2,1986,BD,BD11,40,1,EXACT
BD111HA_23,HARRISON,THEO,HARRISON,1,BD111HA,1986-03-04,HARRISON,,THEO,,HARRISON,,,HAR,H,,,THE,T,,,HAR,H,,,HTH,4,3,1986,BD,BD11,40,BD111HA_23,HARRISON,THEO,HARRISON,1,BD111HA,1986-03-04,HARRISON,,THEO,,HARRISON,,,HAR,H,,,THE,T,,,HAR,H,,,HTH,4,3,1986,BD,BD11,40,1,EXACT
BD111HA_25,DYLAN,CHARLIE,BOOTH,1,BD111HA,1992-02-04,DYLAN,,CHARLIE,,BOOTH,,,DYL,D,,,CHA,C,,,BOO,B,,,DCB,4,2,1992,BD,BD11,34,BD111HA_25,DYLAN,CHARLIE,BOOTH,1,BD111HA,1992-02-04,DYLAN,,CHARLIE,,BOOTH,,,DYL,D,,,CHA,C,,,BOO,B,,,DCB,4,2,1992,BD,BD11,34,1,EXACT
BD111HA_26,FLORENCE,,COLLINS,2,BD111HA,1983-01-03,FLORENCE,,,,COLLINS,,,FLO,F,,,,,,,COL,C,,,FC,3,1,1983,BD,BD11,43,BD111HA_26,FLORENCE,,COLLINS,2,BD111HA,1983-01-03,FLORENCE,,,,COLLINS,,,FLO,F,,,,,,,COL,C,,,FC,3,1,1983,BD,BD11,43,1,EXACT
